,단축코드,한글 종목약명,시장구분,Degree,community_code,community_label,KOSPI_sector,market_cap,market_cap_row
1078,077500,유니퀘스트,KOSPI,107,14,전자부품,유통업,"3,021억원",3021
1079,011320,유니크,KOSDAQ,131,7,운수장비,"운송장비,부품","1,250억원",1250
1080,086390,유니테스트,KOSDAQ,86,12,반도체,반도체,"6,097억원",6097
1081,241690,유니테크노,KOSDAQ,102,7,운수장비,"운송장비,부품","2,171억원",2171
1082,142210,유니트론텍,KOSDAQ,70,14,전자부품,자동차판매,755억원,755
1083,048430,유라테크,KOSDAQ,81,1,전기전자,일반전기전자,"1,210억원",1210
1084,206650,유바이오로직스,KOSDAQ,50,11,"의료, 제약 및 생물공학",제약,"13,821억원",13821
1085,089850,유비벨록스,KOSDAQ,51,0,"건설, 장비, 기기",소프트웨어,"1,210억원",1210
1086,032620,유비케어,KOSDAQ,51,11,"의료, 제약 및 생물공학",소프트웨어,"4,181억원",4181
1087,264450,유비쿼스,KOSDAQ,58,16,IT서비스,통신장비,"2,310억원",2310
1088,078070,유비쿼스홀딩스,KOSDAQ,53,0,"건설, 장비, 기기",일반전기전자,"3,113억원",3113
1089,002920,유성기업,KOSPI,111,7,운수장비,운수장비,810억원,810
1090,024800,유성티엔에스,KOSDAQ,55,10,철강금속,육상운송,954억원,954
1091,000700,유수홀딩스,KOSPI,64,5,"항공,운수 및 통신장비",서비스업,"1,768억원",1768
1092,054930,유신,KOSDAQ,94,15,건설,전문기술,531억원,531
1093,038340,UCI,KOSDAQ,53,3,교육서비스 및 문구류,교육,166억원,166
1094,069330,유아이디,KOSDAQ,131,12,반도체,IT부품,358억원,358
1095,049520,유아이엘,KOSDAQ,63,14,전자부품,IT부품,584억원,584
1096,003470,유안타증권,KOSPI,51,4,"은행, 증권 및 기타금융",증권,"8,193억원",8193
1097,056090,유앤아이,KOSDAQ,50,11,"의료, 제약 및 생물공학","의료,정밀기기",433억원,433
1098,263770,유에스티,KOSDAQ,84,10,철강금속,금속,"1,004억원",1004
1099,072130,유엔젤,KOSPI,62,3,교육서비스 및 문구류,서비스업,682억원,682
1100,000220,유유제약,KOSPI,162,11,"의료, 제약 및 생물공학",의약품,"1,368억원",1368
1101,023410,유진기업,KOSDAQ,65,0,"건설, 장비, 기기",비금속,"3,753억원",3753
1102,056080,유진로봇,KOSDAQ,60,3,교육서비스 및 문구류,"기계,장비","1,688억원",1688
1103,084370,유진테크,KOSDAQ,57,12,반도체,반도체,"10,874억원",10874
1104,001200,유진투자증권,KOSPI,61,4,"은행, 증권 및 기타금융",증권,"3,608억원",3608
1105,178780,유테크,KOSDAQ,64,12,반도체,도매,602억원,602
1106,179900,유티아이,KOSDAQ,85,14,전자부품,IT부품,"2,415억원",2415
1107,000100,유한양행,KOSPI,94,11,"의료, 제약 및 생물공학",의약품,"44,783억원",44783
1108,003460,유화증권,KOSPI,50,0,"건설, 장비, 기기",증권,"1,573억원",1573
1109,191410,육일씨엔에쓰,KOSDAQ,50,1,전기전자,IT부품,412억원,412
1110,008730,율촌화학,KOSPI,55,6,"화학, 섬유",화학,"6,088억원",6088
1111,008250,이건산업,KOSPI,65,6,"화학, 섬유",종이목재,"1,314억원",1314
1112,039020,이건홀딩스,KOSDAQ,63,6,"화학, 섬유","종이,목재","1,199억원",1199
1113,025820,이구산업,KOSPI,77,10,철강금속,철강금속,"1,114억원",1114
1114,067920,이글루시큐리티,KOSDAQ,64,16,IT서비스,소프트웨어,795억원,795
1115,044960,이글벳,KOSDAQ,53,2,"음식료품, 담배 및 기타화학",도매,"1,016억원",1016
1116,214320,이노션,KOSPI,73,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"11,020억원",11020
1117,073490,이노와이어리스,KOSDAQ,51,16,IT서비스,통신장비,"3,062억원",3062
1118,215790,이노인스트루먼트,KOSDAQ,54,5,"항공,운수 및 통신장비",통신장비,771억원,771
1119,088390,이녹스,KOSDAQ,72,17,섬유의복 및 유통,"운송장비,부품","2,941억원",2941
1120,272290,이녹스첨단소재,KOSDAQ,77,12,반도체,IT부품,"8,534억원",8534
