,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
236,008040,사조동아원,"1,707억원","14,114만주","곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
237,008110,대동전자,355억원,"1,049만주",통신 및 방송 장비 제조업,전기전자,IT하드웨어
238,008250,이건산업,"1,071억원","1,050만주",나무제품 제조업,종이목재,"건설,건축관련"
239,008260,NI스틸,699억원,"2,860만주",1차 철강 제조업,철강금속,철강
240,008290,원풍물산,"1,301억원","3,839만주",봉제의복 제조업,"섬유,의류","화장품,의류,완구"
241,008350,남선알미늄,"1,834억원","11,017만주",1차 비철금속 제조업,철강금속,"건설,건축관련"
242,008370,원풍,421억원,"1,200만주",플라스틱제품 제조업,화학,화학
243,008420,문배철강,619억원,"2,050만주",1차 철강 제조업,철강금속,철강
244,008470,부스타,482억원,840만주,"구조용 금속제품, 탱크 및 증기발생기 제조업",금속,기계
245,008490,서흥,"2,730억원","1,156만주",기타 화학제품 제조업,화학,건강관리
246,008500,일정실업,191억원,120만주,편조원단 제조업,섬유의복,자동차
247,008600,윌비스,649억원,"5,700만주",생활용품 도매업,유통업,"화장품,의류,완구"
248,008700,아남전자,"2,066억원","7,712만주",영상 및 음향기기 제조업,전기전자,IT가전
249,008730,율촌화학,"3,062억원","2,480만주",플라스틱제품 제조업,화학,"비철,목재등"
250,008830,대동기어,227억원,89만주,특수 목적용 기계 제조업,"기계,장비",기계
251,008870,금비,654억원,100만주,유리 및 유리제품 제조업,비금속광물,"비철,목재등"
252,008970,동양철관,"1,448억원","8,888만주",1차 철강 제조업,철강금속,철강
253,009140,경인전자,365억원,157만주,전자부품 제조업,전기전자,IT가전
254,009150,삼성전기,"81,416억원","7,469만주",전자부품 제조업,전기전자,IT하드웨어
255,009160,SIMPAC,"1,596억원","6,542만주",특수 목적용 기계 제조업,기계,기계
256,009190,대양금속,515억원,"1,231만주",1차 철강 제조업,철강금속,"비철,목재등"
257,009200,무림페이퍼,"1,302억원","4,160만주","펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
258,009270,신원,"1,415억원","7,673만주",봉제의복 제조업,섬유의복,"화장품,의류,완구"
259,009290,광동제약,"3,365억원","5,242만주",의약품 제조업,의약품,건강관리
260,009300,삼아제약,"1,070억원",637만주,의약품 제조업,제약,건강관리
261,009310,참엔지니어링,892억원,"4,918만주",특수 목적용 기계 제조업,기계,디스플레이
262,009320,대우부품,790억원,"4,764만주",자동차 신품 부품 제조업,운수장비,자동차
263,009410,태영건설,"7,716억원","7,640만주",토목 건설업,건설업,"건설,건축관련"
264,009440,KC그린홀딩스,833억원,"2,243만주",기타 금융업,기타금융업,기계
265,009450,경동나비엔,"5,420억원","1,273만주",가정용 기기 제조업,전기전자,"화장품,의류,완구"
266,009470,삼화전기,"1,412억원",661만주,전자부품 제조업,전기전자,IT가전
267,009520,포스코엠텍,"2,694억원","4,164만주",1차 철강 제조업,금속,철강
268,009580,무림P&P,"4,222억원","6,236만주","펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
269,009620,삼보산업,249억원,412만주,1차 비철금속 제조업,금속,"비철,목재등"
270,009680,모토닉,"2,821억원","3,300만주",자동차 신품 부품 제조업,운수장비,자동차
271,009730,코센,429억원,"4,173만주",1차 철강 제조업,금속,"비철,목재등"
272,009770,삼정펄프,833억원,249만주,"펄프, 종이 및 판지 제조업",종이목재,필수소비재
273,009780,엠에스씨,"1,247억원","1,760만주",기타 식품 제조업,"음식료,담배",필수소비재
274,009970,영원무역홀딩스,"8,549억원","1,363만주",기타 금융업,기타금융업,"화장품,의류,완구"
275,010050,우리종금,"5,380억원","67,420만주",기타 금융업,기타금융업,은행
276,010060,OCI,"23,706억원","2,384만주",기초 화학물질 제조업,화학,화학
277,010130,고려아연,"82,273억원","1,887만주",1차 비철금속 제조업,철강금속,"비철,목재등"
278,010140,삼성중공업,"48,888억원","63,000만주",선박 및 보트 건조업,운수장비,조선
279,010170,대한광통신,"3,572억원","7,374만주",절연선 및 케이블 제조업,일반전기전자,기계
280,010280,쌍용정보통신,434억원,"4,046만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터서비스,소프트웨어
281,010470,오리콤,557억원,"1,149만주",광고업,전문기술,"미디어,교육"
