,quarter,시장구분,종목명,btin
64156,2,KOSPI,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업
64158,1,KOSPI,삼성바이오로직스,기초 의약물질 및 생물학적 제제 제조업
64159,4,KOSDAQ,지란지교시큐리티,소프트웨어 개발 및 공급업
64172,3,KOSDAQ,지란지교시큐리티,소프트웨어 개발 및 공급업
64184,1,KOSDAQ,지란지교시큐리티,소프트웨어 개발 및 공급업
64185,2,KOSDAQ,지란지교시큐리티,소프트웨어 개발 및 공급업
64226,3,KOSDAQ,셀바스헬스케어,의료용 기기 제조업
64228,4,KOSDAQ,셀바스헬스케어,의료용 기기 제조업
64229,1,KOSDAQ,셀바스헬스케어,의료용 기기 제조업
64230,2,KOSDAQ,셀바스헬스케어,의료용 기기 제조업
64231,4,KOSDAQ,썸에이지,소프트웨어 개발 및 공급업
64232,3,KOSDAQ,썸에이지,소프트웨어 개발 및 공급업
64239,1,KOSDAQ,썸에이지,소프트웨어 개발 및 공급업
64251,2,KOSDAQ,썸에이지,소프트웨어 개발 및 공급업
64255,2,KOSDAQ,바이오로그디바이스,전자부품 제조업
64264,3,KOSDAQ,바이오로그디바이스,전자부품 제조업
64276,3,KOSDAQ,엔지스테크널러지,소프트웨어 개발 및 공급업
64293,1,KOSDAQ,엔지스테크널러지,소프트웨어 개발 및 공급업
64308,4,KOSPI,SK디앤디,부동산 임대 및 공급업
64312,3,KOSPI,SK디앤디,부동산 임대 및 공급업
64340,1,KOSPI,SK디앤디,부동산 임대 및 공급업
64388,2,KOSPI,SK디앤디,부동산 임대 및 공급업
64777,3,KOSDAQ,AP위성,통신 및 방송 장비 제조업
64779,1,KOSDAQ,AP위성,통신 및 방송 장비 제조업
64781,3,KOSDAQ,네오오토,자동차 신품 부품 제조업
64806,1,KOSDAQ,민앤지,기타 정보 서비스업
64832,4,KOSDAQ,민앤지,기타 정보 서비스업
64838,3,KOSDAQ,민앤지,기타 정보 서비스업
64840,2,KOSDAQ,민앤지,기타 정보 서비스업
64863,4,KOSPI,이노션,광고업
64867,1,KOSPI,이노션,광고업
64878,3,KOSPI,이노션,광고업
64897,3,KOSPI,금호에이치티,자동차 신품 부품 제조업
64905,2,KOSPI,금호에이치티,자동차 신품 부품 제조업
64918,1,KOSPI,금호에이치티,자동차 신품 부품 제조업
64937,4,KOSPI,금호에이치티,자동차 신품 부품 제조업
64960,2,KOSPI,경보제약,기초 의약물질 및 생물학적 제제 제조업
64962,3,KOSPI,경보제약,기초 의약물질 및 생물학적 제제 제조업
64963,2,KOSPI,토니모리,기타 화학제품 제조업
